epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.683158,1.50954,4.48638,1.53852,0,0,0,0,1.13929,4.39973,1.21526,3.03e-06,3.03e-06,3.03e-06
2,0.886277,1.45502,4.46844,1.48034,0,0,0,0,1.12649,4.38811,1.20161,9.045e-06,9.045e-06,9.045e-06
3,1.09886,1.4093,4.57099,1.50453,0,0,0,0,1.12992,4.37011,1.19529,1.5e-05,1.5e-05,1.5e-05
4,1.35226,1.28711,4.36182,1.49008,0,0,0,0,1.11797,4.37003,1.18967,2.0895e-05,2.0895e-05,2.0895e-05
5,1.60828,1.32943,4.36519,1.44959,0,0,0,0,1.10505,4.36211,1.17444,2.67301e-05,2.67301e-05,2.67301e-05
6,1.83158,1.20017,4.38483,1.33087,0,0,0,0,1.11883,4.35598,1.17945,3.25051e-05,3.25051e-05,3.25051e-05
7,2.0298,1.21358,4.33378,1.40581,0,0,0,0,1.10462,4.34346,1.1672,3.82201e-05,3.82201e-05,3.82201e-05
8,2.23519,1.16831,4.2747,1.34088,0,0,0,0,1.09972,4.33611,1.15755,4.38752e-05,4.38752e-05,4.38752e-05
9,2.43897,1.17447,4.23409,1.36408,0,0,0,0,1.09133,4.3354,1.15462,4.94702e-05,4.94702e-05,4.94702e-05
10,2.65547,1.15606,4.18963,1.34218,0,0,0,0,1.09603,4.32745,1.15106,5.50053e-05,5.50053e-05,5.50053e-05
11,2.85066,1.13357,4.17726,1.31946,0,0,0,0,1.0894,4.31831,1.14553,6.04803e-05,6.04803e-05,6.04803e-05
12,3.05948,1.1847,4.19856,1.36266,0,0,0,0,1.08449,4.31044,1.13729,6.58954e-05,6.58954e-05,6.58954e-05
13,3.27896,1.15326,4.11807,1.28991,0,0,0,0,1.09613,4.30992,1.1409,7.12505e-05,7.12505e-05,7.12505e-05
14,3.47346,1.19023,4.05336,1.39389,0,0,0,0,1.10474,4.30168,1.15289,7.65455e-05,7.65455e-05,7.65455e-05
15,3.66955,1.14601,3.97617,1.2771,0,0,0,0,1.12064,4.2919,1.15164,8.17806e-05,8.17806e-05,8.17806e-05
16,3.88985,1.06286,3.791,1.31598,0,0,0,0,1.14306,4.28828,1.16151,8.69557e-05,8.69557e-05,8.69557e-05
17,4.19212,1.08479,3.77049,1.31184,0,0,0,0,1.13544,4.27586,1.15789,9.20708e-05,9.20708e-05,9.20708e-05
18,4.41564,1.07786,3.79338,1.29022,0,0,0,0,1.12841,4.26427,1.15922,9.71259e-05,9.71259e-05,9.71259e-05
19,4.64703,1.07814,3.65026,1.25545,0,0,0,0,1.15825,4.24889,1.17108,0.000102121,0.000102121,0.000102121
