epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8958,1.11665,3.92658,1.53691,0.51015,0.39362,0.41748,0.25638,1.24778,2.23996,1.78502,0.00332172,0.00332172,0.00332172
2,32.5586,1.1897,2.47775,1.55753,0.37716,0.49768,0.3864,0.21725,1.3727,2.26239,1.90666,0.00662211,0.00662211,0.00662211
3,47.9406,1.21658,2.18261,1.55525,0.46189,0.53564,0.49127,0.27782,1.46525,2.27679,2.02008,0.0098895,0.0098895,0.0098895
4,63.326,1.26873,2.12691,1.5901,0.55745,0.52802,0.57277,0.32618,1.44438,1.82448,1.94842,0.0098515,0.0098515,0.0098515
5,78.7249,1.26106,1.95997,1.58126,0.68452,0.57804,0.62674,0.37746,1.39687,1.9159,1.91007,0.009802,0.009802,0.009802
6,94.1053,1.22003,1.7892,1.54266,0.7263,0.67031,0.72847,0.42283,1.40016,1.3991,1.87478,0.0097525,0.0097525,0.0097525
7,109.495,1.18647,1.6638,1.51236,0.65156,0.64752,0.69107,0.42364,1.3522,1.53664,1.84036,0.009703,0.009703,0.009703
8,124.905,1.17237,1.54375,1.49648,0.70063,0.70581,0.75016,0.45299,1.27629,1.36321,1.76735,0.0096535,0.0096535,0.0096535
9,140.319,1.15929,1.44711,1.48392,0.81242,0.67104,0.7427,0.47132,1.34248,1.31622,1.83261,0.009604,0.009604,0.009604
10,155.717,1.13498,1.3991,1.46956,0.81897,0.76833,0.82579,0.53393,1.22162,1.13348,1.69234,0.0095545,0.0095545,0.0095545
11,171.145,1.12581,1.33097,1.45847,0.7859,0.71615,0.80485,0.51356,1.2651,1.1244,1.73312,0.009505,0.009505,0.009505
12,186.685,1.10985,1.2695,1.44663,0.80793,0.71652,0.81284,0.54013,1.21143,1.073,1.65659,0.0094555,0.0094555,0.0094555
13,202.099,1.10235,1.24076,1.443,0.8344,0.73162,0.8099,0.54101,1.21225,1.08121,1.71033,0.009406,0.009406,0.009406
14,217.531,1.07623,1.15904,1.41798,0.80354,0.77202,0.82156,0.54399,1.21576,1.07124,1.71565,0.0093565,0.0093565,0.0093565
15,232.948,1.06453,1.15181,1.41449,0.72505,0.78885,0.81086,0.53236,1.23196,1.08241,1.70467,0.009307,0.009307,0.009307
16,248.363,1.06708,1.13364,1.40826,0.81678,0.78262,0.83632,0.57833,1.1265,0.96129,1.60929,0.0092575,0.0092575,0.0092575
17,263.782,1.04985,1.09893,1.40314,0.8339,0.77537,0.84383,0.56,1.19938,0.99088,1.66771,0.009208,0.009208,0.009208
18,279.205,1.04817,1.06568,1.39981,0.82163,0.77835,0.86014,0.57493,1.17019,0.94283,1.6671,0.0091585,0.0091585,0.0091585
19,294.589,1.0281,1.04466,1.3878,0.8249,0.81419,0.86888,0.59783,1.13896,0.90906,1.602,0.009109,0.009109,0.009109
20,309.992,1.0284,1.01173,1.37863,0.83809,0.78267,0.86783,0.59806,1.11375,0.91129,1.60849,0.0090595,0.0090595,0.0090595
21,325.42,1.01866,1.0049,1.37378,0.83406,0.82577,0.87183,0.59868,1.09941,0.90172,1.58386,0.00901,0.00901,0.00901
22,341.002,1.00738,0.98877,1.3698,0.85257,0.77953,0.87271,0.59346,1.14949,0.90647,1.61211,0.0089605,0.0089605,0.0089605
23,356.419,1.0053,0.97694,1.36385,0.82153,0.78005,0.82495,0.57282,1.13242,0.9567,1.6034,0.008911,0.008911,0.008911
24,371.858,0.98962,0.94728,1.35024,0.84028,0.81809,0.87796,0.60998,1.09674,0.85782,1.59209,0.0088615,0.0088615,0.0088615
25,387.326,0.99967,0.9425,1.35777,0.86397,0.76859,0.86584,0.60956,1.10811,0.866,1.5692,0.008812,0.008812,0.008812
26,402.753,0.98747,0.92352,1.35126,0.84949,0.82275,0.89282,0.62968,1.06761,0.81336,1.52115,0.0087625,0.0087625,0.0087625
27,418.165,0.97983,0.91357,1.34726,0.85151,0.77748,0.88189,0.61067,1.10946,0.86458,1.58905,0.008713,0.008713,0.008713
28,433.599,0.96767,0.90583,1.33394,0.7986,0.84788,0.88768,0.61012,1.11339,0.82386,1.57329,0.0086635,0.0086635,0.0086635
29,449.026,0.96486,0.90871,1.34094,0.83389,0.83263,0.88884,0.61988,1.09662,0.78723,1.54867,0.008614,0.008614,0.008614
30,464.466,0.96244,0.88447,1.33837,0.88829,0.80394,0.90397,0.63143,1.05759,0.80332,1.52885,0.0085645,0.0085645,0.0085645
31,479.907,0.96792,0.87747,1.33776,0.85001,0.83136,0.88212,0.63376,1.05174,0.81482,1.50473,0.008515,0.008515,0.008515
32,495.349,0.9569,0.85964,1.32828,0.87523,0.83731,0.9045,0.64715,1.06083,0.78005,1.53476,0.0084655,0.0084655,0.0084655
33,510.773,0.93982,0.83801,1.31737,0.87769,0.79867,0.88946,0.63919,1.02915,0.80577,1.47761,0.008416,0.008416,0.008416
34,526.174,0.94191,0.85198,1.31699,0.84296,0.82234,0.88252,0.61852,1.08481,0.79792,1.54384,0.0083665,0.0083665,0.0083665
35,541.712,0.92727,0.83855,1.3147,0.81668,0.86306,0.89331,0.63021,1.07654,0.78333,1.53728,0.008317,0.008317,0.008317
36,557.153,0.92935,0.83125,1.31123,0.83344,0.84182,0.89764,0.6325,1.06367,0.80958,1.52607,0.0082675,0.0082675,0.0082675
37,572.611,0.93348,0.81145,1.30843,0.82295,0.83692,0.88991,0.62777,1.1015,0.76224,1.55974,0.008218,0.008218,0.008218
38,588.19,0.92995,0.81691,1.30481,0.85268,0.8337,0.8919,0.64833,1.03081,0.76689,1.48722,0.0081685,0.0081685,0.0081685
39,603.618,0.9182,0.81683,1.29521,0.82525,0.83787,0.89871,0.64425,1.01944,0.78062,1.49332,0.008119,0.008119,0.008119
40,619.049,0.91989,0.80759,1.2928,0.87337,0.85497,0.90805,0.66098,1.04755,0.74988,1.48705,0.0080695,0.0080695,0.0080695
41,634.479,0.90297,0.7757,1.29264,0.81917,0.86979,0.90788,0.65461,1.03691,0.73336,1.48829,0.00802,0.00802,0.00802
42,649.904,0.90231,0.77917,1.28094,0.8369,0.84171,0.89336,0.65174,1.04605,0.7378,1.50748,0.0079705,0.0079705,0.0079705
43,665.425,0.89717,0.76737,1.27682,0.84541,0.83512,0.88819,0.63703,1.04881,0.77536,1.50343,0.007921,0.007921,0.007921
