epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.877571,1.50954,4.48638,1.53852,0,0,0,0,1.13929,4.39973,1.21526,3.03e-06,3.03e-06,3.03e-06
2,1.04816,1.45502,4.46844,1.48034,0,0,0,0,1.12649,4.38811,1.20161,8.91002e-06,8.91002e-06,8.91002e-06
3,1.27559,1.40952,4.57056,1.50383,0,0,0,0,1.12904,4.37032,1.19502,1.45501e-05,1.45501e-05,1.45501e-05
4,1.52031,1.28767,4.36304,1.49022,0,0,0,0,1.11957,4.3633,1.18883,1.99501e-05,1.99501e-05,1.99501e-05
5,1.76233,1.33055,4.36742,1.44982,0,0,0,0,1.11534,4.36674,1.18111,2.51102e-05,2.51102e-05,2.51102e-05
6,2.00091,1.20302,4.39017,1.33247,0,0,0,0,1.09744,4.35648,1.17172,3.00303e-05,3.00303e-05,3.00303e-05
7,2.23818,1.215,4.34084,1.41059,0,0,0,0,1.08919,4.34604,1.16135,3.47105e-05,3.47105e-05,3.47105e-05
8,2.46581,1.17971,4.28609,1.3512,0,0,0,0,1.10879,4.33679,1.16958,3.91506e-05,3.91506e-05,3.91506e-05
9,2.69671,1.17642,4.25775,1.36897,0,0,0,0,1.09864,4.32806,1.16148,4.33508e-05,4.33508e-05,4.33508e-05
10,2.91549,1.15874,4.21523,1.34613,0,0,0,0,1.07853,4.32041,1.1533,4.7311e-05,4.7311e-05,4.7311e-05
11,3.14118,1.13408,4.19817,1.32658,0,0,0,0,1.06859,4.31737,1.14234,5.10313e-05,5.10313e-05,5.10313e-05
12,3.36647,1.19612,4.23785,1.37102,0,0,0,0,1.06021,4.31147,1.13372,5.45115e-05,5.45115e-05,5.45115e-05
13,3.60007,1.16192,4.16678,1.30353,0,0,0,0,1.06263,4.30619,1.12712,5.77518e-05,5.77518e-05,5.77518e-05
14,3.82453,1.19325,4.10057,1.40863,0,0,0,0,1.06769,4.30158,1.1301,6.07521e-05,6.07521e-05,6.07521e-05
15,4.11947,1.17225,4.04937,1.29354,0,0,0,0,1.07534,4.29902,1.1354,6.35124e-05,6.35124e-05,6.35124e-05
16,4.33987,1.06848,3.89912,1.32279,0,0,0,0,1.08343,4.29623,1.14196,6.60328e-05,6.60328e-05,6.60328e-05
17,4.55779,1.09732,3.88204,1.3334,0,0,0,0,1.08751,4.29033,1.1429,6.83132e-05,6.83132e-05,6.83132e-05
18,4.78416,1.10078,3.93821,1.30333,0,0,0,0,1.10689,4.28448,1.14934,7.03536e-05,7.03536e-05,7.03536e-05
19,5.00956,1.11702,3.83752,1.27734,0,0,0,0,1.11763,4.27285,1.14543,7.2154e-05,7.2154e-05,7.2154e-05
20,5.22836,1.05314,3.78063,1.23432,0,0,0,0,1.12159,4.25551,1.14365,7.37144e-05,7.37144e-05,7.37144e-05
21,5.45066,1.03309,3.69237,1.27834,0,0,0,0,1.12358,4.24182,1.14325,7.50349e-05,7.50349e-05,7.50349e-05
22,5.66881,1.08319,3.6371,1.31987,0,0,0,0,1.11208,4.22212,1.1419,7.61154e-05,7.61154e-05,7.61154e-05
23,5.89698,1.04789,3.51896,1.26468,0,0,0,0,1.0957,4.19528,1.138,7.69559e-05,7.69559e-05,7.69559e-05
24,6.09006,1.05897,3.49434,1.2342,0,0,0,0,1.09213,4.16579,1.1356,7.75565e-05,7.75565e-05,7.75565e-05
25,6.29731,1.04211,3.32413,1.30427,0,0,0,0,1.08631,4.12521,1.13412,7.79171e-05,7.79171e-05,7.79171e-05
26,6.5062,1.01919,3.29114,1.27967,0.09091,0.01818,0.05455,0.05455,1.09277,4.07894,1.14021,7.80377e-05,7.80377e-05,7.80377e-05
27,6.72904,1.10373,3.1493,1.30026,0.07576,0.15455,0.07197,0.06839,1.09778,4.01801,1.14953,7.79183e-05,7.79183e-05,7.79183e-05
28,6.95043,1.00657,3.2796,1.26853,0.07576,0.15455,0.07197,0.06839,1.09778,4.01801,1.14953,7.75589e-05,7.75589e-05,7.75589e-05
29,7.17264,1.00406,3.04395,1.26567,0.09487,0.19848,0.11613,0.10098,1.1045,3.9597,1.15353,7.69596e-05,7.69596e-05,7.69596e-05
30,7.39313,0.94188,3.29482,1.24867,0.1566,0.39545,0.18833,0.15175,1.11766,3.89726,1.17584,7.61203e-05,7.61203e-05,7.61203e-05
31,7.68435,1.03216,2.94889,1.25161,0.1566,0.39545,0.18833,0.15175,1.11766,3.89726,1.17584,7.5041e-05,7.5041e-05,7.5041e-05
32,7.88897,1.00565,2.9394,1.20321,0.15649,0.44091,0.19313,0.1578,1.13764,3.82448,1.19855,7.37217e-05,7.37217e-05,7.37217e-05
33,8.10314,1.00131,3.04723,1.34879,0.18329,0.53485,0.23598,0.19156,1.14345,3.76028,1.207,7.21625e-05,7.21625e-05,7.21625e-05
34,8.31987,0.99912,2.94322,1.25708,0.18329,0.53485,0.23598,0.19156,1.14345,3.76028,1.207,7.03633e-05,7.03633e-05,7.03633e-05
35,8.54401,1.00909,2.7494,1.22978,0.21273,0.67879,0.29531,0.23191,1.13639,3.70052,1.21066,6.83241e-05,6.83241e-05,6.83241e-05
36,8.77653,1.08559,2.87843,1.27788,0.20085,0.68636,0.29712,0.23235,1.14064,3.66569,1.21554,6.60449e-05,6.60449e-05,6.60449e-05
37,8.99431,0.98716,2.96641,1.24522,0.20085,0.68636,0.29712,0.23235,1.14064,3.66569,1.21554,6.35258e-05,6.35258e-05,6.35258e-05
38,9.21799,0.88034,2.70416,1.23313,0.1706,0.68636,0.32244,0.252,1.13896,3.59607,1.22249,6.07667e-05,6.07667e-05,6.07667e-05
39,9.41229,1.09097,2.91487,1.31144,0.1449,0.68636,0.3572,0.27872,1.15385,3.53341,1.23694,5.77676e-05,5.77676e-05,5.77676e-05
40,9.60982,0.93678,2.83195,1.22179,0.1449,0.68636,0.3572,0.27872,1.15385,3.53341,1.23694,5.45285e-05,5.45285e-05,5.45285e-05
